"","salinity","temperature","oxygen","fluo"
"781530",32.81,11.743,6.2,0.238046103128795
"781533",32.847,11.757,5.98,0.212187604403958
"781535",32.9,11.745,6.17,0.269512944217916
"781537",33.011,11.732,6.15,0.271841606536499
"781540",33.075,11.827,6.14,0.24551266781415
"781542",33.111,11.825,6.01,0.247973266361807
"781545",33.116,11.855,6.2,0.257678574869184
"781547",33.162,11.797,6.24,0.296665190261531
"781549",33.433,11.652,6.15,0.269512944217916
"781552",33.312,11.78,6.26,0.252853030979893
"781555",33.544,11.723,6.21,0.305351369446624
"781557",33.526,11.764,6.18,0.313867220369153
"781559",33.565,11.825,6.1,0.271841606536499
"781562",33.589,11.746,6.14,0.298853076409707
"781564",33.559,11.837,6.28,0.27415784926368
"781567",33.71,11.762,6.23,0.28330122870355
"781569",33.787,11.709,6,0.303196057420489
"781572",33.693,11.817,6.07,0.298853076409707
"781575",33.86,11.633,6.11,0.309630167425899
"781577",33.754,11.64,6.08,0.356025857193123
"781579",33.687,11.629,5.99,0.354108439147401
"781581",33.709,11.651,6.07,0.359835482339888
"781583",33.643,11.621,6.13,0.389166084364532
"781585",33.611,11.624,6.05,0.40823996531185
"781587",33.557,11.644,6.19,0.403120521175818
"781589",33.553,11.644,6.11,0.41161970596323
"781591",33.535,11.644,6.19,0.392696953259666
"781593",33.654,11.612,6.15,0.416640507338281
"781595",33.506,11.643,6.19,0.363611979892144
"781598",33.584,11.608,6.02,0.387389826338729
"781600",33.587,11.606,6.13,0.367355921026019
"781602",33.377,11.655,6.19,0.401400540781544
"781605",33.396,11.649,6.11,0.359835482339888
"781608",33.292,11.677,6.15,0.394451680826216
"781610",33.313,11.67,6.11,0.342422680822206
"781612",33.343,11.652,6.11,0.376576957056512
"781615",33.319,11.649,6.05,0.318063334962762
"781617",33.203,11.671,6.1,0.396199347095736
"781620",33.184,11.687,6.14,0.431363764158987
"781623",33.234,11.669,6.15,0.392696953259666
"781625",33.262,11.669,6.02,0.346352974450639
"781627",33.332,11.646,6.04,0.348304863048161
"781630",33.288,11.597,6.07,0.363611979892144
"781633",33.302,11.6,6.1,0.413299764081252
"781635",33.304,11.601,6.03,0.340444114840118
"781637",33.592,11.585,5.97,0.378397900948138
"781639",33.316,11.565,6.05,0.3654879848909
"781641",33.441,11.562,5.82,0.387389826338729
"781644",33.62,11.555,5.79,0.330413773349191
"781647",33.617,11.548,5.75,0.350248018334163
"781649",33.617,11.539,5.98,0.352182518111362
"781652",33.721,11.523,5.99,0.326335860928751
"781655",33.82,11.505,5.87,0.320146286111054
"781658",33.882,11.486,5.77,0.371067862271736
"781660",33.761,11.474,5.95,0.330413773349191
"781662",33.727,11.484,5.87,0.318063334962762
"781664",33.741,11.503,5.84,0.307496037913213
"781667",33.704,11.533,5.84,0.292256071356476
"781669",33.653,11.556,5.97,0.307496037913213
"781672",33.615,11.558,6.13,0.292256071356476
"781675",33.596,11.554,6.12,0.278753600952829
"781677",33.605,11.56,6.13,0.281033367247728
"781679",33.61,11.564,6.14,0.264817823009536
"781682",33.619,11.563,6.14,0.294466226161593
"781685",33.688,11.552,5.96,0.264817823009536
"781687",33.649,11.585,6.17,0.247973266361807
"781689",33.672,11.584,6.12,0.238046103128795
"781692",33.514,11.621,6.18,0.220108088040055
"781694",33.481,11.661,6.24,0.260071387985075
"781696",33.397,11.68,6.21,0.227886704613674
"781698",33.436,11.723,6.26,0.232996110392154
"781701",33.313,11.751,6.3,0.243038048686294
"781703",33.331,11.793,6.34,0.227886704613674
"781705",33.163,11.774,6.22,0.247973266361807
"781707",33.088,11.797,6.17,0.250420002308894
"781710",33.08,11.815,6.05,0.252853030979893
